,0,1,2,3,4
0,63.86,64.71,-1.34,3.81,-1.51
1,64.0,65.04,1.08,4.87,0.01
2,64.25,70.24,-0.07,2.98,-0.27
3,66.41,61.66,-1.45,4.14,-0.41
4,65.52,63.8,-1.65,4.78,-0.11
5,64.2,61.42,-0.63,3.99,0.84
6,65.6,64.23,-0.96,3.51,-0.82
7,64.38,64.28,-0.81,3.82,0.62
8,65.5,62.09,-0.39,3.45,-3.01
9,66.2,66.97,-0.7,4.41,-0.01
10,67.44,60.2,0.49,3.32,-1.11
11,63.56,58.88,1.9,2.76,-0.36
12,64.5,59.11,-0.28,3.01,-0.48
13,65.91,70.23,-0.57,4.49,-0.99
14,65.74,52.03,-1.4,3.94,-0.15
15,65.47,62.76,-2.48,5.32,1.76
16,64.84,55.43,0.76,3.72,-0.63
17,67.04,67.31,0.51,4.57,-0.29
18,65.9,61.78,0.1,4.44,0.21
19,64.95,65.17,0.26,4.27,-1.27
20,63.35,67.49,2.51,2.83,0.29
21,63.76,59.43,0.36,3.2,-1.06
22,64.98,53.59,-0.87,5.38,-0.12
23,66.66,57.5,-0.35,5.91,-0.43
24,63.32,62.93,-0.2,3.87,-1.77
25,63.33,64.08,0.19,6.51,0.98
26,63.9,60.59,1.83,4.45,-0.5
27,65.12,57.65,-1.01,5.15,-1.66
28,65.38,62.98,0.06,3.65,-0.31
29,63.78,59.4,-0.37,2.9,-0.62
30,64.64,60.08,-0.75,4.68,-1.15
31,66.39,62.6,-0.85,2.47,-0.33
32,64.61,65.64,-0.6,4.39,0.8
33,65.5,65.1,-0.74,4.08,-0.44
34,66.37,65.28,-1.82,5.6,-0.99
35,66.17,58.75,-0.99,3.4,-2.33
36,64.83,61.18,0.85,4.8,0.36
37,65.23,66.92,-0.57,3.16,0.24
38,65.9,45.87,-1.38,2.71,1.23
39,64.62,64.26,-1.03,3.32,-1.28
40,64.76,57.58,-1.03,4.65,-0.91
41,65.05,55.9,0.1,5.18,0.71
42,67.67,55.65,0.3,5.72,0.43
43,66.68,68.78,-1.52,5.48,-2.49
44,65.01,67.7,0.31,2.63,-0.84
45,65.57,54.59,-0.4,5.51,-0.95
46,65.41,69.29,-2.92,5.43,-0.37
47,65.33,65.53,-0.07,3.5,0.94
48,63.21,65.35,0.24,2.02,0.43
49,65.18,62.27,-1.02,6.54,1.09
50,65.31,58.61,-0.36,2.8,-0.21
51,63.03,60.38,0.37,3.96,-0.08
52,64.97,64.46,-0.78,4.27,-1.97
53,65.12,65.5,-2.19,5.28,-0.66
54,66.16,60.29,-1.43,3.58,-0.51
55,64.66,61.49,-1.58,5.11,-1.26
56,64.99,58.46,-1.18,5.83,-0.09
57,65.19,59.92,0.7,3.57,0.25
58,65.54,59.31,-2.29,3.69,-0.62
59,65.13,59.94,1.28,3.74,1.09
60,65.03,56.21,-0.05,4.61,-1.28
61,66.64,61.33,-0.69,3.33,-0.2
62,64.95,59.91,-0.62,4.14,0.74
63,66.1,66.01,-0.4,4.52,-1.23
64,65.17,61.87,-1.18,4.73,-2.4
65,65.74,70.84,-0.55,4.16,0.04
66,66.43,64.48,-0.15,3.74,0.31
67,64.59,65.48,0.18,2.05,-0.16
68,64.13,65.49,-0.41,3.95,-0.59
69,64.91,60.18,-1.09,4.35,-2.27
70,64.36,61.64,-1.23,4.3,-1.46
71,66.37,61.38,-1.03,2.5,-2.22
72,65.66,65.47,-1.02,3.9,-3.37
73,64.58,65.11,0.41,4.39,-0.66
74,63.17,60.63,1.77,2.28,-0.46
75,64.22,54.09,-0.24,4.45,-0.14
76,66.1,63.85,-1.28,3.35,-1.19
77,66.57,65.08,-1.75,3.73,-0.41
78,66.23,65.54,0.53,5.23,0.3
79,65.52,64.48,-1.91,4.43,-0.87
80,64.08,59.79,-0.59,3.71,-1.5
81,66.1,63.57,-1.92,5.23,-1.26
82,64.54,67.96,-0.19,4.74,1.98
83,66.71,59.03,-1.17,3.91,-1.38
84,65.31,60.98,-0.53,4.45,1.33
85,64.78,68.66,-0.94,3.78,-0.76
86,65.9,63.76,-2.01,4.6,-1.19
87,64.71,59.52,-0.92,6.25,-1.55
88,64.99,61.84,-0.29,2.85,0.44
89,64.67,59.29,0.73,1.88,1.87
90,64.33,68.29,-0.12,3.37,-0.49
91,67.68,67.93,-0.21,3.25,-0.4
92,64.72,59.01,-0.76,4.0,-0.11
93,65.8,60.52,0.43,4.25,0.06
94,65.48,67.74,-1.27,4.51,-1.77
95,65.71,62.8,0.28,3.02,-1.72
96,64.27,65.27,1.87,4.51,0.54
97,64.33,68.13,-0.07,6.1,0.25
98,65.18,64.69,-2.07,3.08,1.05
99,65.34,59.96,-0.47,3.92,-0.69
100,65.14,65.22,-0.19,4.05,-0.6
101,65.16,69.24,-1.16,5.42,-1.68
102,65.31,64.27,-0.22,3.03,1.62
103,65.45,67.67,-0.98,3.58,-1.12
104,66.21,62.0,-1.07,4.87,-0.28
105,66.12,59.52,-0.32,4.66,-0.94
106,63.98,56.39,1.41,3.58,0.48
107,65.36,59.82,-1.44,4.81,-1.27
108,63.65,71.67,0.21,4.25,0.44
109,64.22,61.07,0.49,3.97,0.39
110,64.58,64.19,0.62,4.99,1.57
111,65.2,64.75,-0.64,4.81,-0.83
112,65.81,59.39,0.08,2.81,-1.54
113,64.53,64.43,0.41,3.35,1.08
114,64.83,66.81,-0.59,4.33,-1.39
115,63.35,66.21,1.82,2.68,1.27
116,65.39,63.46,-2.62,2.94,1.42
117,65.94,62.89,-0.13,4.88,1.81
118,64.9,61.48,-0.23,4.0,1.78
119,65.73,56.28,-0.27,4.47,0.8
120,64.06,58.49,-0.91,3.81,0.06
121,64.4,55.35,0.12,3.49,-1.84
122,64.09,61.17,-0.62,2.23,0.48
123,65.93,68.6,0.36,4.81,0.19
124,64.86,59.79,-0.12,4.79,-0.38
125,65.56,67.46,-1.2,5.39,-1.53
126,64.74,66.02,-0.14,4.36,0.22
127,63.73,61.73,1.26,2.38,2.06
128,64.23,66.7,-0.34,2.43,-0.89
129,65.83,67.86,-3.85,3.48,-0.81
130,65.0,62.53,-2.28,5.43,-2.06
131,64.57,59.41,1.16,3.64,-0.86
132,64.13,59.76,-0.34,4.72,-0.07
133,65.41,63.59,-0.26,4.57,-0.14
134,64.48,64.97,0.45,3.32,-0.36
135,64.61,66.94,0.2,4.87,0.09
136,64.58,66.51,-3.42,3.46,0.88
137,65.48,63.19,-0.54,3.95,-0.93
138,65.08,66.48,-0.18,3.72,0.29
139,66.29,62.45,0.19,6.37,0.72
140,63.91,66.23,-0.03,3.95,-1.02
141,66.77,66.89,-3.51,3.71,0.21
142,65.26,55.39,-1.49,4.85,-2.59
143,64.84,60.48,-1.78,5.07,-1.93
144,65.31,63.71,0.93,4.27,-0.14
145,63.28,64.5,-0.04,3.92,0.17
146,64.36,62.74,0.75,6.17,0.32
147,65.18,59.79,-1.78,3.55,-0.68
148,64.38,68.62,-0.89,3.64,-1.75
149,62.64,65.54,1.09,4.8,1.94
150,64.72,64.13,-1.11,5.26,-1.76
151,65.1,63.71,-0.99,3.22,-1.23
152,65.48,56.2,1.18,4.8,0.42
153,63.51,58.45,1.23,6.2,1.24
154,63.65,64.93,0.66,2.91,-0.34
155,64.29,71.78,0.44,1.4,0.52
156,66.15,62.54,-2.26,4.46,-1.03
157,65.36,58.56,-1.04,3.07,-1.36
158,65.51,66.22,-0.48,4.24,-0.76
159,64.53,69.94,-0.04,5.23,-1.53
160,66.74,60.26,-1.18,3.98,-0.35
161,63.82,63.3,0.99,5.39,0.44
162,64.59,62.9,-1.21,3.43,0.22
163,65.89,63.0,-1.64,2.73,-1.74
164,65.85,63.29,-0.24,3.29,-0.75
165,63.98,63.08,0.33,3.29,0.77
166,65.69,63.5,-0.53,4.08,1.34
167,64.78,63.55,0.53,5.65,1.28
168,66.88,58.18,-1.02,3.74,-0.19
169,63.3,62.59,3.21,4.4,1.95
