,0,1,2,3,4,5,6
0,85.59,95.02,0.11,0.95,9035.85,7340.61,89.59
1,89.56,96.04,-1.27,2.03,9229.58,8031.07,94.67
2,86.11,85.72,1.63,1.03,7356.19,7424.0,90.54
3,87.61,93.8,0.71,-0.31,8804.56,,
4,87.08,90.03,0.83,1.05,8114.84,7593.07,91.06
5,87.55,96.89,1.25,0.8,9394.2,7673.91,94.82
6,88.32,95.71,0.42,0.91,9164.42,7809.25,89.16
7,89.54,94.53,1.48,2.47,8942.56,8032.36,94.37
8,88.78,89.72,1.81,1.05,8054.25,7891.12,93.21
9,87.62,95.83,1.15,0.45,9188.39,7685.3,89.23
10,87.86,92.03,0.63,1.35,8476.04,7731.06,93.27
11,89.02,88.43,-0.09,0.56,7824.38,7931.05,92.69
12,87.72,90.38,0.9,3.05,8172.49,7707.45,92.32
13,88.1,95.35,0.11,0.74,9094.48,7770.57,92.17
14,89.1,89.42,-0.43,1.47,8000.05,7947.36,92.07
15,87.74,83.85,-0.08,-1.72,7035.67,,
16,88.47,94.86,1.88,2.16,9004.23,7835.45,95.49
17,88.95,85.42,0.48,1.03,7300.35,7921.93,92.5
18,88.14,85.81,3.77,3.06,7369.04,7779.71,93.53
19,86.74,91.22,-0.03,-0.65,8323.34,,
20,89.51,89.62,-0.62,1.12,8037.3,8021.2,92.22
21,89.24,86.61,0.16,2.36,7506.23,7980.01,96.05
22,86.19,92.73,-0.85,2.42,8604.83,7439.07,89.46
23,87.86,90.68,0.08,0.69,8227.81,7728.94,92.21
24,86.94,89.04,-1.13,0.79,7933.68,7566.56,90.83
25,88.58,90.23,0.39,0.86,8144.53,7861.4,90.53
26,87.41,92.49,1.02,0.78,8561.04,7649.09,89.79
27,89.32,89.25,1.21,0.04,7969.69,7984.9,92.22
28,87.4,92.1,0.47,-0.13,8489.97,,
29,88.67,86.91,0.02,0.62,7559.23,7868.9,95.19
30,89.29,96.49,-0.04,0.82,9318.53,7982.56,96.78
31,86.71,96.21,2.11,1.63,9261.28,7534.49,93.56
32,87.84,91.32,0.06,-1.13,8340.24,,
33,88.44,84.41,0.68,0.32,7129.56,7826.48,93.43
34,89.07,94.06,0.53,0.65,8855.22,7942.77,92.39
35,88.81,93.3,1.56,2.07,8706.72,7899.05,95.84
36,88.13,98.68,1.77,-0.79,9742.93,,
37,88.59,90.75,-1.06,3.11,8241.27,7861.92,92.12
38,86.65,90.69,0.0,0.83,8229.58,7519.29,88.87
39,87.99,89.56,1.54,1.01,8024.94,7750.94,90.76
40,87.76,90.28,1.67,0.32,8158.18,7710.13,91.9
41,89.85,88.88,-0.98,2.4,7900.73,8081.5,94.1
42,87.86,87.65,-0.26,0.5,7685.14,7725.69,91.97
43,88.32,89.64,-0.28,0.05,8039.88,7807.64,90.06
44,87.71,92.96,0.04,0.16,8644.37,7698.06,92.85
45,88.23,88.52,-1.77,2.44,7842.21,7796.59,93.43
46,88.55,95.67,-0.06,1.13,9161.28,7850.24,94.34
47,88.36,92.18,0.51,0.99,8501.09,7816.36,93.82
48,87.98,85.67,0.9,-0.13,7344.97,,
49,89.44,90.41,-0.36,0.53,8180.44,8006.18,94.32
50,87.1,90.53,2.8,-0.56,8197.65,,
51,87.58,91.78,-0.74,0.43,8431.12,7682.29,89.41
52,88.17,84.2,0.92,0.63,7092.75,7783.21,89.74
53,88.12,89.17,2.81,2.5,7956.43,7779.92,95.55
54,87.2,88.72,1.73,-1.32,7876.32,,
55,87.51,87.76,0.16,0.91,7706.53,7673.26,87.9
56,88.93,89.41,-1.01,1.25,7999.38,7918.18,95.06
57,87.56,88.28,0.21,1.22,7802.74,7676.59,90.23
58,87.95,88.14,-0.07,-0.75,7772.47,,
59,88.27,97.38,1.4,2.28,9489.4,7805.52,90.88
60,87.7,87.27,-0.8,2.46,7615.39,7706.38,93.91
61,88.99,84.11,-0.33,1.69,7079.13,7930.18,94.34
62,89.56,98.57,0.26,-0.76,9719.94,,
63,87.53,89.1,1.62,2.19,7945.73,7674.84,90.42
64,86.84,96.89,1.16,1.93,9395.94,7553.37,92.39
65,87.69,85.91,0.6,0.17,7384.96,7699.77,92.75
66,88.16,86.27,0.55,1.53,7448.43,7785.82,89.99
67,87.2,86.5,1.17,0.6,7487.02,7612.55,89.76
68,87.72,87.28,0.1,-0.98,7623.76,,
69,86.5,90.54,1.16,2.29,8204.94,7496.3,93.28
70,85.63,88.73,-0.25,0.29,7877.15,7339.06,89.69
71,89.34,94.5,0.33,0.95,8936.31,7991.12,96.11
72,89.86,85.92,-0.78,0.7,7388.99,8087.13,97.68
73,88.0,90.14,0.15,0.25,8132.88,7749.02,88.15
74,87.71,87.55,1.57,1.28,7668.57,7703.07,89.26
75,87.52,87.97,1.27,2.95,7740.44,7672.68,93.29
76,88.12,91.83,-0.86,-0.81,8436.87,,
77,88.43,86.86,1.35,0.85,7548.97,7830.28,91.21
78,88.66,88.72,1.38,0.93,7878.92,7874.48,95.11
79,89.28,95.25,-0.17,-0.56,9071.28,,
80,89.6,87.47,3.5,1.71,7656.33,8037.67,93.69
81,88.33,90.98,1.4,0.7,8281.25,7811.06,93.65
82,87.35,86.78,0.88,2.45,7536.25,7643.03,92.39
83,88.36,96.54,-0.43,-0.22,9324.04,,
84,88.1,89.17,-0.3,2.47,7954.33,7770.28,93.75
85,87.98,87.68,1.94,1.12,7693.6,7748.28,93.02
86,89.85,90.12,-1.11,1.97,8128.15,8083.38,91.41
87,90.46,86.82,-3.96,0.84,7545.49,8189.09,98.6
88,88.64,93.29,0.49,0.75,8705.35,7866.37,93.35
89,87.36,90.77,-1.78,1.27,8243.38,7643.35,92.91
90,87.75,94.03,1.32,1.87,8846.32,7710.0,89.97
91,87.09,96.27,0.39,0.49,9273.37,7595.35,94.49
92,88.78,90.2,0.44,1.71,8139.56,7891.68,92.36
93,88.23,91.45,-0.1,1.6,8370.69,7794.45,90.68
94,90.7,88.93,1.29,0.24,7915.8,8238.48,95.58
95,89.9,88.01,-1.29,2.48,7752.11,8096.82,94.11
96,88.57,91.12,-0.09,-2.0,8306.09,,
97,86.24,85.04,-0.35,-0.58,7234.18,,
98,88.45,93.24,-0.72,-1.21,8696.07,,
99,87.42,93.71,-0.48,0.48,8786.95,7650.26,90.53
100,87.0,93.96,-0.75,1.98,8834.27,7578.25,94.25
101,87.7,86.9,2.29,0.87,7555.16,7696.81,88.97
102,86.72,89.61,0.8,-0.74,8032.64,,
103,89.4,96.82,0.75,0.62,9379.98,8001.07,95.03
104,89.31,90.94,0.75,0.17,8276.86,7980.32,94.04
105,89.81,95.58,-1.12,2.54,9139.94,8076.29,95.37
106,89.71,85.34,0.95,0.75,7291.91,8055.57,93.88
107,88.55,98.83,1.13,2.03,9772.18,7847.62,93.22
108,88.36,85.17,2.25,0.62,7259.99,7817.51,93.45
109,87.6,92.78,1.25,-0.94,8614.91,,
110,87.77,96.87,0.05,0.01,9390.02,7710.59,93.65
111,87.64,95.97,0.85,2.43,9212.64,7688.27,91.44
112,88.87,90.63,-0.81,1.98,8219.07,7909.35,95.71
113,88.11,91.57,1.13,1.38,8390.77,7774.57,92.59
114,88.07,91.13,0.18,-1.37,8306.98,,
115,88.35,92.4,3.43,2.02,8543.65,7814.98,94.49
116,87.26,89.17,3.56,2.89,7956.67,7628.68,91.27
117,88.28,91.19,-0.08,-2.06,8316.14,,
