,0,1,2,3,4,5,6,7,8
0,67.44,4.27,7.84,8.83,93.79,8.83,3.79,4556.68,250.64
1,59.0,2.6,6.08,7.87,75.42,7.91,2.19,3486.29,206.49
2,75.82,4.45,7.79,9.84,113.53,8.27,0.3,5760.0,268.66
3,62.16,5.82,7.61,8.02,83.96,6.11,8.91,3878.24,290.69
4,61.07,4.17,9.12,6.99,65.29,7.47,4.22,3737.0,214.95
5,69.21,3.61,8.52,9.23,104.46,6.92,9.58,4797.52,335.87
6,66.74,3.97,9.04,8.25,86.63,6.11,5.89,4466.54,252.77
7,71.42,3.65,9.24,7.58,77.69,8.8,2.41,5109.31,230.41
8,66.8,4.29,7.94,8.92,97.15,6.72,5.9,4474.54,264.46
9,69.94,6.65,7.7,8.58,93.22,7.81,5.81,4902.94,278.09
10,65.91,4.41,9.43,9.27,104.93,5.96,8.05,4353.19,301.44
11,57.08,4.95,7.42,8.71,92.41,7.47,5.28,3264.47,241.4
12,63.04,4.24,8.13,6.98,69.7,7.88,4.66,3982.05,222.94
13,68.38,4.81,7.66,7.59,75.56,11.91,5.48,4687.81,256.99
14,60.58,2.96,6.33,7.03,66.16,6.05,3.22,3672.02,200.38
15,71.72,3.22,7.9,8.18,85.31,7.08,7.18,5151.83,282.52
16,68.13,5.63,7.32,8.03,80.8,8.31,5.68,4651.76,257.59
17,65.05,4.72,7.26,8.52,91.1,2.94,4.69,4240.3,241.54
18,65.49,2.87,6.52,7.43,69.43,9.24,5.27,4295.76,236.81
19,67.24,5.68,7.51,7.79,78.94,4.86,8.01,4533.28,280.96
20,57.45,4.18,7.52,8.07,81.9,7.52,8.37,3308.51,274.42
21,62.47,3.74,7.14,8.08,81.8,6.07,3.24,3910.55,224.87
22,67.24,3.68,7.76,9.85,111.09,7.09,6.07,4525.43,288.53
23,66.76,4.31,9.27,7.85,78.79,9.81,9.06,4466.2,303.02
24,64.65,5.01,8.23,7.38,76.71,9.53,6.2,4192.87,250.23
25,67.36,3.45,8.33,8.73,95.46,7.97,7.05,4543.98,283.34
26,71.91,4.75,8.13,7.71,79.26,8.16,6.01,5182.76,265.09
27,69.51,4.88,7.51,9.41,104.12,8.13,7.84,4841.42,316.03
28,67.62,5.66,7.35,9.47,104.6,6.52,6.23,4586.1,289.43
29,69.44,3.92,8.41,11.02,140.27,7.14,7.61,4827.69,341.07
30,52.5,2.8,8.27,8.13,85.2,4.68,6.55,2763.38,230.44
31,67.05,3.72,8.17,8.08,83.32,10.37,4.57,4501.87,245.73
32,63.12,2.44,7.13,10.38,123.48,7.35,6.92,3991.73,302.16
33,65.5,3.16,8.51,9.26,107.24,6.85,4.24,4293.95,258.06
34,63.37,4.62,7.06,9.5,105.8,8.56,6.02,4027.4,280.1
35,67.23,3.95,8.74,8.58,96.12,7.13,4.09,4530.1,251.37
36,69.2,5.73,7.77,7.27,71.78,7.53,4.65,4798.53,241.2
37,67.74,4.07,6.68,8.94,93.91,9.4,3.81,4595.65,259.95
38,61.61,4.54,6.57,8.39,82.21,6.57,9.31,3805.43,301.23
39,69.61,4.35,9.26,7.0,68.74,6.7,6.2,4853.37,249.5
40,65.81,3.0,8.67,6.77,62.98,7.18,5.44,4334.5,226.41
41,59.51,4.14,8.65,7.5,75.86,7.71,5.23,3546.62,225.92
42,72.03,3.51,9.71,9.96,122.07,6.36,6.53,5193.05,307.15
43,62.44,3.8,7.72,8.03,84.25,7.33,5.13,3904.47,240.24
44,68.69,3.21,8.56,9.14,100.5,7.95,4.45,4724.71,261.36
45,67.74,3.28,9.2,9.21,103.81,3.7,6.21,4592.85,274.59
46,68.97,4.23,7.29,10.4,121.3,3.04,4.79,4764.87,283.06
47,62.75,2.82,7.04,10.51,124.3,9.54,8.64,3941.84,331.24
48,69.01,3.16,8.39,8.6,91.33,10.15,0.71,4770.92,240.02
49,73.6,3.83,8.67,7.97,79.12,5.33,6.27,5427.16,269.47
50,58.68,5.13,7.62,6.04,57.36,11.78,5.26,3451.4,213.38
51,71.62,4.4,6.13,8.11,79.65,8.43,4.52,5139.79,257.6
52,69.37,3.69,9.14,7.85,79.09,4.69,8.22,4823.17,286.68
53,69.61,5.04,9.13,6.31,60.42,9.46,1.66,4856.34,208.06
54,66.55,2.52,7.25,8.65,92.64,6.13,4.33,4431.15,244.31
55,72.43,3.93,9.64,9.94,120.78,7.35,6.13,5253.1,300.98
56,65.65,5.11,6.37,9.39,104.43,8.33,7.24,4321.03,296.53
57,64.96,5.34,8.83,7.92,84.85,5.62,2.76,4229.46,222.24
58,67.03,2.79,7.98,7.59,74.68,6.41,6.54,4498.3,253.43
59,72.98,3.87,7.48,9.25,100.94,9.18,3.78,5333.3,273.13
60,71.27,4.15,9.19,6.71,65.45,9.94,8.21,5088.1,286.0
61,67.19,2.48,7.94,7.94,83.4,8.3,2.63,4520.69,229.66
62,69.34,5.32,9.79,9.83,117.95,6.81,6.95,4816.99,309.59
63,73.79,4.98,8.73,9.52,109.99,10.3,6.58,5456.38,314.66
64,67.73,5.15,9.24,7.85,79.52,6.35,8.93,4601.35,297.99
65,66.77,4.37,8.64,8.18,86.99,7.39,7.58,4470.75,284.69
66,65.09,5.41,8.04,7.09,66.79,7.33,4.92,4250.03,228.9
67,66.44,5.14,7.91,7.46,72.61,3.95,9.91,4425.33,306.49
68,69.32,2.96,6.09,8.58,89.47,6.52,8.29,4812.64,299.29
69,68.68,4.88,9.49,8.05,88.35,7.51,5.26,4729.45,254.66
70,70.31,4.9,10.37,7.71,82.31,8.7,-0.4,4954.0,228.76
71,70.75,3.43,6.57,8.48,87.37,8.37,7.33,5011.85,288.96
72,59.54,3.12,8.42,9.29,102.05,6.03,6.19,3553.08,265.62
73,62.35,3.81,9.03,6.45,63.32,9.73,2.95,3894.35,205.96
74,63.09,4.46,9.02,8.22,88.09,6.67,6.89,3994.78,263.5
75,57.72,4.46,8.64,9.53,110.73,6.05,6.63,3343.38,268.42
76,69.68,4.23,8.54,7.82,82.68,14.16,2.97,4866.58,245.56
77,62.23,3.32,7.52,8.04,87.64,8.57,3.23,3881.69,226.89
78,67.0,5.19,8.42,7.56,76.79,10.45,2.29,4502.65,228.12
79,64.64,4.08,7.9,7.51,73.66,8.87,7.09,4187.44,262.57
80,68.64,2.77,9.54,7.47,74.01,8.14,1.98,4719.57,216.47
81,64.19,4.58,8.86,7.9,79.66,10.98,4.31,4129.48,242.63
82,60.45,5.23,5.12,7.1,61.48,7.82,8.07,3667.53,264.02
83,68.05,2.42,7.65,8.56,90.2,8.2,1.35,4637.42,230.96
84,61.65,3.86,8.01,7.39,74.3,8.72,7.32,3809.71,256.53
85,62.35,5.35,7.46,7.59,72.92,8.49,4.02,3897.87,226.14
86,67.47,3.14,7.99,7.15,68.67,6.93,5.05,4558.38,229.82
87,64.55,3.89,7.84,8.18,84.69,4.67,5.21,4173.0,240.09
88,63.52,2.5,6.63,9.55,104.66,8.08,6.03,4039.97,276.36
89,71.73,3.78,8.24,7.72,75.97,9.59,3.79,5151.26,246.17
90,65.42,4.09,7.73,7.58,74.18,9.53,3.12,4289.07,224.26
91,66.07,5.35,8.67,7.2,70.89,7.37,8.96,4372.96,288.15
92,66.83,2.43,9.3,7.88,83.68,9.78,5.13,4467.33,243.79
93,70.47,3.52,9.01,8.28,91.25,7.79,5.32,4976.37,260.54
94,69.34,5.82,9.36,8.56,93.55,7.76,5.21,4821.05,267.0
95,64.72,5.6,7.65,9.1,99.09,7.41,6.09,4200.72,281.19
96,65.82,3.22,7.5,8.61,91.41,7.16,10.84,4337.75,344.92
97,59.02,4.22,7.44,7.91,77.02,6.94,6.58,3494.77,245.07
98,67.14,3.42,8.9,6.52,63.18,12.23,9.0,4516.46,282.41
99,67.61,4.88,9.21,8.66,98.18,5.84,3.79,4582.37,246.14
100,61.09,3.71,8.74,6.15,56.16,10.09,4.11,3737.11,205.66
101,68.83,6.11,9.12,8.63,95.34,9.4,7.39,4753.85,294.2
